Text,Sentiment
@Bosslogic @amellywood @CW_Arrow @ARROWwriters Thank you! :-),Positive
@johngutierrez1 hope the rest of your night goes by quickly... I am off to bed... got my music fix and now it is time to dream  :),Positive
"Spiritual Ritual Festival (Népal)
Beginning of Line-up :)
It is left for the line-up (y)
See more at:... http://t.co/QMNz62OEuc",Positive
@ke7zum Hey Sarah! Send us an email at bitsy@bitdefender.com and we'll help you asap :),Positive
@izzkamilhalda lols. :D,Neutral
MY kik - hatessuce32429 #kik #kikme #lgbt #tinder #nsfw #akua #cumshot :) http://t.co/TnHJD36yzf,Neutral
@KalinWhite come to my house :))))),Neutral
"#nsn_supplements, Effective press release distribution with results! :) [link removed] #PressRelease #NewsDistribution",Positive
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x46",Positive
everyone watch the documentary Earthlings on YouTube :-),Neutral
@jamiefigsxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Neutral
#FollowFriday @MichelBauza @InvataOnline for being top supports in my community this week :),Positive
buuuuuuuut oh well :-),Positive
@leisuremarkltd @NoshandQuaff @aktarislam @keanebrands @HeritageSilver I am looking forward to visiting next week #letsgetmessy Jo :-),Neutral
@sehunshinedaily if it makes u feel better i never have nor will see anyone in kpop in the flesh :D,Positive
"@Joyster2012 @CathStaincliffe Good for you, girl!! Best wishes :-)",Positive
@_Kimimi A great enough reason to listen to one epic soundtrack. :D,Positive
@AquaDesignGroup Thank you for the shout out. Have a great Friday :),Positive
I added a video to a @YouTube playlist http://t.co/yzpfsMxUq0 im back on twitch and today it going to be league :) - 1 / 4,Neutral
Would love to see you dear in #Jordan :) waiting you! @FIRDOZ  :) @VisitJordan @dannyprol,Positive
"@ABNORMAL_ANA92 oh, okay :D thanks!",Positive
"@sssniperwolf like how to fake gameplays ;) haha Im kidding, im kidding. You do good stuff :).",Positive
"@dennislami @Dicle_Aygur, yeah exactly :)",Positive
Our new product line is in our #etsy shop now! Check it out :) http://t.co/h8exCTLQxg #boxroomcrafts,Neutral
@PeakYourMind I hope your vacation is going great! :D,Positive
@groovinshawn they are rechargeable and it normally comes with a charger when u buy it :),Neutral
#FollowFriday @France_Espana @reglisse_menthe @CCI_inter for being top engaged members in my community this week :),Positive
Well she's asleep and I have no one to talk to sooo someone text me :),Positive
"@brynybrath @smallcappy Yes, I suppose. I bet he'll have a blue fit after hearing her speech today. Pity :-)",Positive
"Green gardens, midnight sun, beautiful canals dasvidaniya till next visit.:)",Positive
@KeithRParsons are you scouting SG for a future WLAN pros conference here in Asia? :),Neutral
"@Cecilie_Hell @420evilangel @wazimotometal @durooooooo @spigranty Good for u, better change it to lollipop 🍭 :).",Positive
We &lt;3 u Nez :) #AGNEZMO https://t.co/cGViMHSINz,Neutral
@LittleMix Follow me Please :)  This is my Big Dream :),Positive
@Elemaaan  oley be :D,Neutral
"""@CowokAddict: Mama is the only reason why I stand stronger up to now! :)""",Positive
@MacatangayApril  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Neutral
"@tk_kjk_kndr @boukendreamer OH MY GOD MISTY, MY BABY IS SO CUTE!!! :D",Positive
"@BhaktisBanter 

I love blue :)
#FlipkartFashionFriday http://t.co/HnbinH35ES",Positive
"@CarcassDrop Woohoo! Can't wait :) Have you signed up yet, or still thinking about it? MKa",Positive
i have liam access now :)),Neutral
@SyuhxdxTengku most welcome :),Positive
Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/p6K6SiH58a.,Neutral
@sluttywife2 you shouldn't be surprised...you have an amazing figure :),Negative
#FollowFriday @murtishaw @aqui_fr @FRTechStartups for being top influencers in my community this week :),Positive
"#HappyBirthdayEmilyBett @emilybett :) Wishing you all the best you beautiful,sweet,talented,amazing… https://t.co/humtC1tr3I",Positive
2 plans for the day down the drain great :):,Positive
@x123456789tine @5SOS_FAHUpdates gotta love timezones :p,Positive
"are your parents proud of you — lol, not in the least :D maybe sometimes they get happy because of my grades, al... http://t.co/bJjeGIOOGU",Positive
Grande :)  https://t.co/gsaaxNpR8u,Neutral
Manila_bro has chosen to follow me on Twitter! http://t.co/lKXZWXN1fb. Thanks for the follow :),Positive
@syazwanzainal sure let me know when you're around..at this side of the world #eh u too take care :-),Positive
#FollowFriday @michae1green @superninjaalan @Doug_Laney for being top new followers in my community this week :),Positive
finally the fucking weekend :),Neutral
REAL :),Neutral
@LoLEsportspedia thanks :D,Positive
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x45",Positive
YES! I Joined #HushedCallWithFraydoe for a call &amp; gift from @_Fraydoe &lt;3 Gotta Get @HushedApp :D http://t.co/VaLVe8omdT,Positive
@YasLarry yeahhh :),Neutral
can I DM you &amp; make your night better :))),Positive
just joined the #HushedPinWithSammy Event :D Might get to Text with @SammyWilk for a day! Luv U @HushedApp http://t.co/kGfgawdHy9,Neutral
Would really appreciate it if you share this video around :) https://t.co/MhK3B3wOpQ,Positive
Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @xhebenkewu_9920,Positive
@TomParker oh wow!! That is beautiful tom :),Positive
Love You @darlingIXHAI22 @SyreenAnne :)) https://t.co/wx7yRrE7sV,Positive
I added a video to a @YouTube playlist http://t.co/HVVPhSYakA im back on twitch and today it going to be league :) - 1 / 3,Neutral
#FollowFriday @AmericanOGrain @PecomeP @APaulicand for being top supports in my community this week :),Positive
@ZaynZaynmalik30  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Neutral
Gym Monday can't wait :). Likes,Negative
"@HarNiLiZaLouis Hey, here's your invite to join Scope as an influencer :)  http://t.co/rZgZtQ2fJT",Positive
Those friends know themselves :),Positive
waiting for nudes :-),Neutral
@JacobWhitesides go sleep u ! :))))))))),Neutral
Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/RB8pMNgMEo.,Neutral
My birthday is a week today! :D,Neutral
@metalgear_jp @Kojima_Hideo I want you're T-shirts ! They are so cool ! :D,Positive
@AxeRade haw phela if am not looking like Mom obviously am looking like him :),Positive
@zaynmalik prince charming on stage :) x https://t.co/OnVFhzt5fZ,Positive
i have really good luck :),Positive
Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/XzsOGaC4zK.,Neutral
#FollowFriday @straz_das @DCarsonCPA @GH813600 for being top engaged members in my community this week :),Positive
@twentyonepilots @fujirock_jp tylers hipster glasses :D,Neutral
"@MartyRafenstein 

Hey Marty !! Glad to see on Twitter. :)",Positive
@UKBusinessLunch Hi we will be joining you again today :),Neutral
@LAfitnessUKhelp done thanks :-),Positive
"Its already afternoon, lets read Al Kahfi before the day finish :)",Neutral
OhmyG! yaya dub @mainedcm im done doing to stalk your ig accnt.. GONDOOO MOO TOLOGOOO :) HAHA,Positive
@rozbabes Here's your invite to become a Scope influencer :) Details here: http://t.co/ipJ2yOiGet,Positive
#FollowFriday @NGourd @Locita @D_Robert_Kelly for being top influencers in my community this week :),Positive
@kevinthewhippet @Cassie_Spaniel @Bracken_Nelson @BellisimoBella1 @SpanielHarry thanks :) zzz xx,Positive
Physiotherapy Friday is my hashtag for today. Custom! :-),Neutral
"@Cjlopez21 you know I will 💪 Monica and I miss you to, yeah sounds good to me :)",Positive
"""Good morning, beautiful :)"" That's all it takes.",Positive
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x43",Positive
@MandaScapinello oh yeah?? I am definitely going to try it tonight then! :) we took your advice too! We are in Treviso now!,Positive
@morallosanthony  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Neutral
@NIKKIERIOZZI Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks :),Positive
"Fine, 
...Have a gorgeous Friday, friend!!..; xo..-:)) https://t.co/JmpkZP2DaI",Positive
"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Neutral
@HostMyOffice @NigelPWhittaker @lemezma @TWBC_Business @_TheBunkerJL Right back atchya!  Have a great day everyone :),Positive
@TeamTall17 @FlashHayer  but doesn't even follow back :-),Neutral
The future is almost here then :) https://t.co/rolE3ZCL97,Neutral
#FollowFriday @Michelploria @MyFrenchCity @jasoncreation for being top new followers in my community this week :),Positive
No chance :),Positive
@ChiAB2486 @MrCliveC @PCDKirkwood @DC_ARVSgt @COPS_President @EmWilliamsCCCU @LauraRGallagher @Hall11Kate @LaMinx541 @JohnTarbet71 cheers :),Positive
@thatguycalledP go po for ice cream :)),Negative
@19strawberry66 I agree 100% :),Positive
@SpazzyTsukihara hehehehe thats the point :p,Neutral
@KalinWhite next time just stay home :),Neutral
@Gculloty87 thanks :),Positive
#FollowFriday @digitalplace2be @intlboost @_lafontpresse for being top supports in my community this week :),Positive
"@stayfaboo it will be up soon, i promise :)",Positive
Web Whatsapp volta a funcionar com iPhone jailbroken. :-),Neutral
@crustyolddeen (I plan on watching it later) at 34 mins Leia appears as a hologram from R2D2 w a message for Obi Wan as he sits w Luke :),Neutral
"@Mburu__ Inter 3 UCL, Arsenal... Small team, Right! :)",Neutral
"Just passing by :) 🚂 (@ Dewsbury Railway Station (DEW) - @nationalrailenq in Dewsbury, West Yorkshire) https://t.co/DvBssHbrfx",Neutral
@ClearlyArticle :) its 430 am smh,Negative
@uptommosass it's 9:25 am here :) I live in Scotland :) it's strange to imagine what?- Megan xx,Negative
"@bookmyshow 

 !
#MasaanToday
#MasaanToday

A4.... Shweta Tripathi  
 !
#MasaanToday
#MasaanToday

-.:-) .-..,",Neutral
@WforWoman 5. Over 20 W kurtas! And my Mom has about half the number I have :D #WSaleLove,Positive
Ah! Hello back Larry! @TransworldBooks :) https://t.co/8XhjJb4jtH,Neutral
Anyway my Friday is looking kinda gooood :),Neutral
@jhun_hunyo  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Neutral
Lol. Well. That's life :) thank God it enn you  https://t.co/GLoCEIjGQQ,Positive
@OJBJ @holmesjsamuel surely this could be your warmup this morning ??? Coming on 15th to Bath :) xx,Positive
"Dum Dum Andar - Ram Sampath, Sona Mohapatra &amp; Samantha Edwards Mein Tulane to razi razi, Wah! That's Josh :) http://t.co/ul8MARDfhm",Neutral
@justinbieber :) always smile,Positive
@darlakim_ picture. :),Neutral
"@arsenalnewsasit Thanks again, your time 16.20 right? That's perfect timing for me here :).",Positive
#FollowFriday @IzywayLesExpats @na4innov @InXpressCoAzur for being top engaged members in my community this week :),Positive
@Juleeyaanaa i know :)),Neutral
#GiveItUp We have already given up our gas subsidy long back when this initiative was proposed.. Feeling so delighted having done that!! :),Positive
@dayloladay I missed this yesterday!! :-),Negative
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x42",Positive
@jaimeemelanie_ lmaoo! The best songs ever &lt;3 We shall have our own little throwback this week (y) :p,Positive
"@Clazziebritchas then go to the outlying islands, such as Cheung Chau, Mui Wo....totally different :))",Neutral
#KFCkitchentours Kitchen is so clean. I'm totally amazed :) @KFC_India,Positive
@cybelxxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Neutral
"@Jana7380 on the cusp of testing the waters, hope yours is rewarding :)",Positive
#FollowFriday @BroadcastBeat @InSunWeTrust @conseilsmkg for being top influencers in my community this week :),Positive
"arummzz: Let's go... I'll drive for you :p

#traveling #traveler #yogyakarta #jeep #Indonesia #instamood… https://t.co/s7y4Ys5JeU",Neutral
Anyone wanna skype me? :D,Neutral
"@agylyxa may i look so, bit i am a real nice friendly girl :-)",Positive
Im not like them. But i can pretend~ :),Positive
watching where we are concert film :),Neutral
"Congratulations @amisharanka95, you're the winner to our #CheesyDelights contest :)
Please DM us your address and contact number!",Positive
:) Have a great weekend guys! https://t.co/DLDKLpeTAb,Positive
#FollowFriday @CLARAROJASG @BF_P2C @MyBusiness_Plan for being top new followers in my community this week :),Positive
@PuaMagasiva it was cool seeing you film today! :),Positive
Check out Email Marketing 24/7:  http://t.co/O5fjR7oEqk you won't regret if you buy it :),Positive
"@vineshpomal LOL. Come join us ... See u in around 14 hours if u leave now, without delays. :)",Positive
"Actually very easy doing like this, it must be a station I guess where the train 'wd take at least an hour for shifting its engine etc :-)",Positive
sunburn is peeling :-),Neutral
@Sexdate_gratis Visit my blog http://t.co/UzOAqroWKx thanks :D,Positive
@TikoSD Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks :),Positive
@no1_razorstan then talk to me. I can help you :),Positive
"""@CassTheTrainer: A Huge &amp; Warm Welcome to @VodkaBlond :-))""

☆ finally we complete the triangle ! ☆",Positive
@LucienneDiver I live in Northern Ireland. :) what sights have you seen?,Neutral
@Mecastor01Mica  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Neutral
#FollowFriday @Z_Intl_Agency @Tivipro @compexly for being top supports in my community this week :),Positive
Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/6prugvmOuC.,Neutral
"@imraina feeling smthng smthng fr u...lol...wanna hug u....XOXO...love uu jaann take care :* :)) &lt;3 :"")",Positive
thanks mom :),Positive
Thanks #TopNewFollowers @BestOfFicPad @MrCFluegel @JeanMarcPN Happy to connect :),Positive
"@MooseAllain @MeatBingo that is the just most wonderful thing, it's made me feel all fluffy inside. Great pirouette, Moose :D",Positive
@KristophCajon I have a trip to philly in December so after that :) I'd love to come out there dude.,Positive
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x41",Positive
The question is flawed. Pain doesn't negate strength :)  https://t.co/77TbkS2Djw,Negative
@ReflectKnives You went solo because these moves weren't being made :D,Neutral
hey my fav nirvana song is smells like teen spirit rip amy winehouse :-))))),Positive
#FollowFriday @CCIdeLYON @CCI_95 @CPNERI_ESIGROUP for being top engaged members in my community this week :),Positive
"Let's go... I'll drive for you :p

#traveling #traveler #yogyakarta #jeep #Indonesia #instamood… https://t.co/s7y4Ys5JeU",Neutral
did we name the couple yet?? #TomHiddleston #ElizabethOlsen ?? #yaytheylookgreat :)),Neutral
I love you all goodnight. Vid going up when I wake up you all with love this one :),Positive
This weekend I am gonna shoot the lovely @NarakuBrock again &lt;3! Here a picture I made of her last time :D http://t.co/s3e2dmpt24,Positive
anyway :-),Neutral
Itty Bitty Teenie Bikini  :) http://t.co/A2oxW0ZI3g http://t.co/jn7KSfHwRc,Neutral
I just joined the #HushedPinWithSammy Event :D Might get to Text with @SammyWilk for a day! Luv U @HushedApp http://t.co/czdow1i44W,Neutral
"Always so much fun when 4th hour gets together. :) 

Ending the night with ice cream and Xfiles. 

Content.",Positive
@aangelayap easy :D,Positive
"@NTtownend yes, be surprised if we don't see a bit of rain today... :)",Positive
@ReyesFraulein  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Neutral
To all @fatpunkstudio have a fabulous Friday and keep up the fantastic work!! :)),Positive
@justinbieber can you please follow me @caitecat1209 ♡♡♡♡ please jb follow me I love you always and forever. I'm a belieber ♡♡♡♡ :) I love u,Positive
#FollowFriday @DiploMix @CCI_entreprises @CCI_92 for being top influencers in my community this week :),Positive
Morning all! :),Neutral
@FranchiSeedsUK good to hear :),Positive
@LusciousLyndee1 Nighty night! Don't let the bed bugs bite :D,Neutral
@Bonsplansblog Very beautiful this bracelet! good idea :),Positive
@guywilliamsguy waiting for you at the foundry. Where you at?? :),Neutral
@KalinWhite I like that game :),Positive
@suzannepanter @kevinbacon @katosman Ah! Now it makes sense... Didn't see the pic on my effing phone last night. Woot :) x,Positive
"@Derek_GTA Hi Derek, you could try using ParkShare in Gloucestershire http://t.co/qIF9AyAlkc :)",Neutral
"Aaaahhh man, this track is a traffic stress reliever. :)",Negative
#FollowFriday @elevents2 @JoussotFrench_J @NYIBF for being top new followers in my community this week :),Positive
@El1neW How're you today my dear? :),Positive
@Jesutomisin I hear you guys want Arbeloa. :D,Positive
@ShawnMendes turning 17 in 15 days...omg. at least we have only 3 years difference :),Neutral
"@matteomeacci Well, they say Europe is on the rise again, but I find that hard to believe :)",Positive
@WforWoman #WSaleLove uncountable coz we love unlimited :),Positive
"Yes, of course :) #TeamPositive https://t.co/SaIX1VpFJF",Positive
yes i love :-) #AlDub,Positive
@coffeebreak22 @LauRenArren @drparkave @JWKanyuira1969 @dheracing @RhoaChri @BarbaraBathurst @1cryingeye @willisteam :) ☕☕☕ Thank you Rita!,Positive
"@mikerobb Hi there, could you please DM us further info and we'd be happy to help! :)",Positive
@24gooch on way my boy! :),Neutral
@graphure I hope you will get a lot of nice gifts :D,Positive
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x40",Positive
#FollowFriday @ACBM_SECEM @DCarsonCPA_NYC @PromosalonsInfo for being top supports in my community this week :),Positive
So True!!  :)  https://t.co/N2ORwrOwhD,Positive
I added a video to a @YouTube playlist http://t.co/09GuSuMrNb im back on twitch and today it going to be league :) - 1 / 3,Neutral
@ZarlashtFaisal @Tabinda_Samar Sethi was HIGH ??? :),Neutral
@IAm_Lennox exe skeem saam :),Neutral
These are the people who make me smile. :) @_pumpchkin_ @aka_pump @LilfrenchMsp @_Lishielou908_ http://t.co/iDdtACkA4K,Positive
@CoSchedule Thanks for the invite. :),Positive
"@SyedIHusain polite izzat :) 
wese does she trust him? khawateen k sath selfies say to mana kar deya :)",Positive
Thank you @MovieTubePW that's my Friday evening sorted :-),Positive
@nova_caneeee you smart :))),Positive
@vaalthepal :-) nice hair tbh,Positive
5 years :) https://t.co/hJEhDmxuu9,Neutral
jacob will there be a m&amp;g upgrade??:-),Neutral
@heydonworks Nice tee man :),Positive
Happy family vacation .. :D [pic] — https://t.co/HL0Fw8msf1,Positive
some sleep would be nice :-),Positive
"If you're reading this, you're beautiful. 
Like this if you just read this :)",Positive
Talking to One person .... Having Two Conversations :)))))))),Neutral
skype was fun :-),Positive
@SoggyStones should be online :),Neutral
...because it's Friday :D (y) http://t.co/6rA4ZlpjO9,Neutral
#FollowFriday @CCIFCcanada @AdamEvnmnt @boxcalf1 for being top engaged members in my community this week :),Positive
Something to get your #Friday off to a great start :) Have a great day all! #Mclaren #FridayFeeling #TGIF http://t.co/LshgwcXsSv,Positive
@AvinPera  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Neutral
square enix bissmillah ya Allah :),Neutral
@SephtonMark we're training #SocEnt startups at @TobaccoDockLon this week w/ @HelpingB - we'd love to have you drop in if youre arnd town :),Positive
@HGVWolfie Basically you piss in a cup and they test it :))),Negative
@ellenRstewart where are you off to next? :),Neutral
"@IonSwitz @notch also, Twitter is terrible for complicated discussions :)",Negative
Snapchat me : LynetteLowe #snapchat #kikmenow #snapme #hot #snapchat #amazon #kikmeguys :) http://t.co/kd54m2IAm6,Positive
I am not looking forward to a 12 hour shift today :)))))),Neutral
@ely83_ely definately agree that it's a growing sport. Drop me an email with details and we can see what we can do :-),Positive
My last rt is me :),Neutral
...and the Rakyat will keep visiting your blog and reading your writing :) https://t.co/IMRy2BXuzd,Neutral
@ryan2390 ever since I mentioned fly fishing the other day I'm getting follows and promoted posts about it lol cyber stalked! :-),Positive
@Gurmeetramrahim #OurDaughtersOurPride #mypapamypride Proud of You Papa Coach :),Positive
@imarpita it was great talking to you :D,Positive
@awaismarwat2011 never see positive kha u could also mention atleast they are going :),Negative
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x39",Positive
@_pigglywiggly @Omundson The mango lassi's from Monty's are marvellous :D. Though I suspect that's not what you meant....,Negative
#FollowFriday @StayfanChemin @CCI_75 @aandreup for being top influencers in my community this week :),Positive
@Thakurain_ Haha. Yes. I have 24 hrs. The time has come to touch the Kepler 452b. Chalna hai ?? :D,Positive
@iyah_mohamad  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Neutral
@allygrrdo thankyou pretty! :),Positive
"@PinkPeoniesBlog @helloprettysa definitely the Hazel Food Market in Brooklyn, Pta :) &gt;&gt; http://t.co/ySQkhNDo2B",Positive
still awake :)))),Neutral
@joiredve okayy :D,Neutral
Awww thank you :)  https://t.co/9tSQv2DWVm,Positive
@AR1961 ha! That does not surprise me in the least! Okay but will see doc this afternoon. Yorkshire is splendid though! :) xx,Positive
@JRTurnerPhoto @davidqueenan @jameslturnbull spam folder: WOW! I have won a huge amount of $ I just need to travel to Nigeria to claim it :),Positive
@PERKSOFNIALLJH RTed! Good Luck :),Positive
My legs hurt so bad :)))))))))))))))))),Negative
@johnny_lopez96 I get mine Saturday :-)))),Neutral
@imafaithreyes thaaanks! December puhon. :)),Neutral
happinessss~!! :))  https://t.co/slOn63OUeS,Neutral
@VaibhavVj78 @PayUmoney True that. Can you change TnC without prior notification? I could have used them last night. :-),Positive
https://t.co/gYx34VfmkK and I  probably only find this funny at 2:22 am :-),Positive
@aliyaskates @yoshihikomkm Fat cos he probably ate Yuna :D :D :D,Neutral
@emmajaneparsons @CuriousMindsNW Have fun in Tameside :)),Positive
@hydrcted what :-) did :-) i :-) do :-?,Neutral
@CharmingJedward you´re welcome!! :),Positive
My Google+ account. :) http://t.co/R8jyDxlQyo,Neutral
@2SHYMC and they call scousers for everything! Hope you and Zoe are well mate :),Positive
@RachelEvans_28 RIGHT!!!!!! I literally was like maybe u should get people who actually know what they're doing :-) @StudentTrip,Positive
"|| Sameee~ 

Rest well :) https://t.co/T6ZCo4NxDG",Positive
@EdgarsLame happy birthday Edgar! I hope you have a good one and keep updating your travel log :),Positive
"Hello :D
@VikkFollows @Vikkstar123",Neutral
@MarreyJewAna bring Abes :),Neutral
Stats for the day have arrived. 2 new followers and NO unfollowers :) via http://t.co/xxlXs6xYwe.,Neutral
someone talk to me :)),Neutral
i will never be the same if we ever meet again :D,Neutral
@BBCSport come on man :D :D,Neutral
@prettyden15  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Neutral
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x38",Positive
@LivelyKaty *sighs dreamily at that pout and those 'come to bath' eyes!* :-) #quacketyquack,Positive
@_sunshinehoran_ happy birthday love :),Positive
@Brianscrooks @burwellitltd @manfrotto_tweet Cheers :-),Positive
Funny how that happened when Phil was here too : ),Positive
@WMFireDogs I'd call 'em Del &amp; Rodders :) What else!,Neutral
"@ForkH Hi, may you like play my newest gamejam game, i would be very happy about it :) http://t.co/8J5voDDHcs",Positive
This is great! Irish literature is really inaccessible to most of us without Irish :),Positive
@BhaktisBanter @PallaviRuhail yeah! This is fun :) #FlipkartFashionFriday,Positive
Nice music :) Check it out! http://t.co/PEjHsORGrk,Positive
@_xRiya Strange Kareena's Fans Not Knowing Kareena's Fans :),Positive
Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @e1d4c8e25ec844c,Positive
better :),Positive
@ArtForCause Cool. Will look for you there. :),Positive
:)) beautiful http://t.co/F8V3McI39e,Positive
"I'm playing Brain Dots : ) #BrainDots
http://t.co/cHl12JvuxN http://t.co/GGgU9PYEjI",Positive
@ScreamQueenLR That's fair enough :) I wouldn't rush back either.,Positive
Brandi 18 on my FB DROP A SELFIE :) was fun https://t.co/TRoroeS4FK,Positive
@kthrnbyln  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Neutral
During a carnival men put masks over their masks. Xavier Forneret :-),Neutral
"@jennnnifer29 Jennifer, Check my site if u wanna get FREE 50.000 8 Ball Pool Coins. Thank you :)",Positive
"@trisha1234 Beautiful edit, Trish! :) Loved it! ♥",Positive
Gratefulness = Happiness :) Post three things you're grateful for today in the comments,Positive
"Love to wakeup beside her &amp; have some real dirty,dirty sex :-)

http://t.co/dPLYrlTjil",Negative
@literalwt LMAOOO SAME its so hot 😤😤 like louis :) he's so hot !!!!!!!!,Positive
@MariaGM350 Just gonna throw idea at you cause if they're bad it will inspire you to think of something much better.  :-),Positive
"#FF The Best Twoofs to follow have a GR8 wkend :)
@allpawone
@Hungry_Hounds
@DDWalks
@HealthyHounds4U
@pawsforawalk
http://t.co/fIYPR3t2Ai",Positive
@cinnamoniboni I wish I could! Maybe one year :),Positive
hey guys! how are you ? :),Neutral
I think I need to go to bed kind of exhausted good night twitter :),Positive
@renukaVyavahare Thank you so much.. So glad you liked it.. :-),Positive
It will all get better in time. :),Positive
@Chelt52 Kind words - thank you very much! It's @SueRyderLCH that does so much good in the #Cheltenham area :),Positive
Hi beautiful follow me please? :) @iggyazalea @lanadelrey @megannicole @madisonellebeer @tiffanyalvord $9,Positive
@astro_lass They weren’t kale crisps :-) Why ruin a good thing?,Negative
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x37",Positive
@mykidsloveme2 Open Worldwide :),Neutral
get the fuck outta here :D https://t.co/neJd4AaQWZ,Negative
"@StreetFighter Cool down guys. It's #SFVBeta, not release. They work on it. :)",Positive
